cycle,predicted_failure
1.0,1
2.0,1
3.0,0
4.0,1
5.0,1
6.0,0
7.0,1
8.0,1
9.0,1
10.0,0
11.0,0
12.0,1
13.0,0
14.0,0
15.0,1
16.0,1
17.0,0
18.0,1
19.0,0
20.0,0
21.0,1
22.0,1
23.0,0
24.0,1
25.0,0
26.0,0
27.0,1
28.0,0
29.0,0
30.0,1
31.0,1
32.0,0
33.0,1
34.0,1
35.0,1
36.0,1
37.0,0
38.0,1
39.0,1
40.0,0
41.0,0
42.0,0
43.0,1
44.0,0
45.0,0
46.0,0
47.0,1
48.0,0
49.0,1
50.0,1
51.0,1
52.0,0
53.0,1
54.0,0
55.0,1
56.0,1
57.0,1
58.0,0
59.0,0
60.0,1
61.0,0
62.0,1
63.0,1
64.0,1
65.0,0
66.0,1
67.0,0
68.0,1
69.0,1
70.0,0
71.0,0
72.0,1
73.0,0
74.0,1
75.0,0
76.0,0
77.0,1
78.0,0
79.0,0
80.0,1
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,1
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,1
98.0,1
99.0,1
100.0,0
101.0,0
102.0,0
103.0,0
104.0,0
105.0,0
106.0,1
107.0,1
108.0,1
109.0,0
110.0,1
111.0,1
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,1
118.0,0
119.0,1
120.0,1
121.0,0
122.0,0
123.0,0
124.0,0
125.0,1
126.0,1
127.0,0
128.0,1
129.0,0
130.0,1
131.0,1
132.0,1
133.0,0
134.0,0
135.0,0
136.0,0
137.0,0
138.0,0
139.0,1
140.0,0
141.0,0
142.0,0
143.0,1
144.0,0
145.0,0
146.0,0
147.0,0
148.0,0
149.0,0
150.0,1
151.0,1
152.0,0
153.0,1
154.0,1
155.0,0
156.0,0
157.0,0
158.0,0
159.0,0
160.0,1
161.0,1
162.0,0
163.0,0
164.0,1
165.0,0
166.0,1
167.0,1
168.0,0
169.0,1
170.0,1
171.0,0
172.0,1
173.0,1
174.0,0
175.0,0
176.0,1
177.0,0
178.0,1
179.0,1
180.0,0
181.0,0
182.0,0
183.0,1
184.0,0
185.0,1
186.0,0
187.0,0
188.0,0
189.0,0
190.0,1
191.0,1
192.0,1
193.0,0
194.0,0
195.0,1
196.0,0
197.0,0
198.0,1
199.0,1
200.0,1
201.0,1
202.0,0
203.0,0
204.0,0
205.0,0
206.0,0
207.0,1
208.0,1
209.0,0
210.0,1
211.0,1
212.0,1
213.0,0
214.0,1
215.0,1
216.0,0
217.0,0
218.0,1
219.0,0
220.0,0
221.0,0
222.0,0
223.0,1
224.0,1
225.0,1
226.0,1
227.0,0
228.0,0
229.0,1
230.0,1
231.0,0
232.0,0
233.0,0
234.0,0
235.0,0
236.0,1
237.0,1
238.0,0
239.0,0
240.0,0
241.0,0
242.0,1
243.0,1
244.0,1
245.0,1
246.0,0
247.0,1
248.0,1
249.0,0
250.0,1
251.0,1
252.0,1
253.0,1
254.0,1
255.0,1
256.0,1
257.0,0
258.0,0
259.0,0
260.0,0
261.0,1
262.0,1
263.0,1
264.0,1
265.0,1
266.0,1
267.0,0
268.0,0
269.0,1
270.0,0
271.0,1
272.0,0
273.0,0
274.0,1
275.0,0
276.0,1
277.0,1
278.0,1
279.0,0
280.0,1
281.0,0
282.0,0
283.0,1
284.0,1
285.0,0
286.0,0
287.0,1
288.0,0
289.0,1
290.0,1
291.0,0
292.0,0
293.0,0
294.0,0
295.0,1
296.0,1
297.0,0
298.0,1
299.0,0
300.0,0
301.0,0
302.0,0
303.0,1
304.0,1
305.0,1
306.0,0
307.0,0
308.0,0
309.0,0
310.0,0
311.0,1
312.0,1
313.0,1
314.0,1
315.0,1
316.0,0
317.0,0
318.0,1
319.0,0
320.0,1
321.0,1
322.0,1
323.0,0
324.0,1
325.0,1
326.0,0
327.0,0
328.0,1
329.0,1
330.0,1
331.0,1
332.0,0
333.0,0
334.0,0
335.0,0
336.0,1
337.0,0
338.0,0
339.0,0
340.0,0
341.0,1
342.0,1
343.0,0
344.0,0
345.0,1
346.0,1
347.0,0
348.0,0
349.0,0
350.0,0
351.0,1
352.0,0
353.0,1
354.0,1
355.0,0
356.0,0
357.0,1
358.0,0
359.0,0
360.0,1
361.0,1
362.0,1
363.0,1
364.0,0
365.0,0
366.0,1
367.0,0
368.0,0
369.0,0
370.0,0
371.0,0
372.0,0
373.0,0
374.0,1
375.0,0
376.0,0
377.0,0
378.0,0
379.0,0
380.0,1
381.0,1
382.0,1
383.0,0
384.0,0
385.0,1
386.0,1
387.0,0
388.0,1
389.0,1
390.0,0
391.0,0
392.0,0
393.0,1
394.0,1
395.0,1
396.0,1
397.0,1
398.0,1
399.0,0
400.0,0
401.0,0
402.0,0
403.0,1
404.0,0
405.0,0
406.0,1
407.0,0
408.0,0
409.0,1
410.0,0
411.0,0
412.0,0
413.0,1
414.0,0
415.0,0
416.0,1
417.0,0
418.0,1
419.0,0
420.0,1
421.0,0
422.0,0
423.0,0
424.0,1
425.0,1
426.0,1
427.0,0
428.0,0
429.0,0
430.0,0
431.0,0
432.0,1
433.0,1
434.0,0
435.0,0
436.0,1
437.0,0
438.0,0
439.0,0
440.0,1
441.0,0
442.0,0
443.0,0
444.0,1
445.0,0
446.0,0
447.0,1
448.0,0
449.0,1
450.0,1
451.0,1
452.0,0
453.0,0
454.0,1
455.0,1
456.0,0
457.0,1
458.0,1
459.0,0
460.0,0
461.0,0
462.0,0
463.0,0
464.0,1
465.0,0
466.0,1
467.0,1
468.0,0
469.0,1
470.0,0
471.0,1
472.0,0
473.0,0
474.0,0
475.0,1
476.0,1
477.0,1
478.0,1
479.0,0
480.0,0
481.0,1
482.0,1
483.0,0
484.0,1
485.0,0
486.0,1
487.0,1
488.0,0
489.0,1
490.0,1
491.0,0
492.0,1
493.0,1
494.0,0
495.0,0
496.0,1
497.0,0
498.0,0
499.0,0
500.0,0
501.0,1
502.0,1
503.0,1
504.0,0
505.0,1
506.0,1
507.0,1
508.0,1
509.0,1
510.0,0
511.0,0
512.0,1
513.0,0
514.0,1
515.0,0
516.0,0
517.0,1
518.0,1
519.0,0
520.0,1
521.0,1
522.0,0
523.0,1
524.0,0
525.0,1
526.0,1
527.0,0
528.0,1
529.0,1
530.0,1
531.0,0
532.0,1
533.0,1
534.0,1
535.0,0
536.0,0
537.0,0
538.0,0
539.0,1
540.0,0
541.0,1
542.0,1
543.0,0
544.0,1
545.0,0
546.0,1
547.0,0
548.0,1
549.0,0
550.0,1
551.0,1
552.0,0
553.0,1
554.0,0
555.0,0
556.0,0
557.0,1
558.0,0
559.0,1
560.0,0
561.0,1
562.0,0
563.0,0
564.0,0
565.0,1
566.0,1
567.0,0
568.0,1
569.0,1
570.0,0
571.0,1
572.0,1
573.0,0
574.0,0
575.0,1
576.0,1
577.0,0
578.0,0
579.0,1
580.0,1
581.0,1
582.0,1
583.0,1
584.0,0
585.0,1
586.0,1
587.0,1
588.0,0
589.0,1
590.0,1
591.0,0
592.0,0
593.0,0
594.0,1
595.0,1
596.0,0
597.0,0
598.0,1
599.0,0
600.0,0
601.0,0
602.0,1
603.0,0
604.0,0
605.0,1
606.0,1
607.0,0
608.0,1
609.0,1
610.0,1
611.0,1
612.0,0
613.0,0
614.0,0
615.0,0
616.0,1
617.0,0
618.0,0
619.0,1
620.0,1
621.0,0
622.0,1
623.0,0
624.0,1
625.0,1
626.0,0
627.0,0
628.0,0
629.0,1
630.0,0
631.0,0
632.0,0
633.0,0
634.0,0
635.0,0
636.0,0
637.0,1
638.0,0
639.0,0
640.0,0
641.0,0
642.0,0
643.0,0
644.0,1
645.0,0
646.0,0
647.0,1
648.0,0
649.0,1
650.0,0
651.0,1
652.0,0
653.0,0
654.0,1
655.0,0
656.0,1
657.0,1
658.0,0
659.0,1
660.0,1
661.0,1
662.0,0
663.0,1
664.0,0
665.0,0
666.0,0
667.0,0
668.0,0
669.0,0
670.0,0
671.0,0
672.0,0
673.0,1
674.0,1
675.0,0
676.0,1
677.0,0
678.0,0
679.0,0
680.0,0
681.0,1
682.0,1
683.0,1
684.0,1
685.0,0
686.0,0
687.0,1
688.0,0
689.0,0
690.0,0
691.0,1
692.0,0
693.0,1
694.0,1
695.0,1
696.0,1
697.0,1
698.0,1
699.0,0
700.0,1
701.0,0
702.0,0
703.0,0
704.0,0
705.0,0
706.0,1
707.0,1
708.0,1
709.0,1
710.0,1
711.0,1
712.0,0
713.0,0
714.0,1
715.0,1
716.0,1
717.0,0
718.0,0
719.0,1
720.0,1
721.0,1
722.0,0
723.0,0
724.0,0
725.0,0
726.0,0
727.0,1
728.0,0
729.0,1
730.0,0
731.0,0
732.0,1
733.0,1
734.0,0
735.0,1
736.0,0
737.0,0
738.0,1
739.0,0
740.0,0
741.0,1
742.0,1
743.0,0
744.0,0
745.0,0
746.0,1
747.0,0
748.0,0
749.0,0
750.0,0
751.0,0
752.0,1
753.0,0
754.0,0
755.0,1
756.0,1
757.0,0
758.0,1
759.0,0
760.0,1
761.0,1
762.0,1
763.0,0
764.0,0
765.0,0
766.0,0
767.0,1
768.0,1
769.0,1
770.0,0
771.0,0
772.0,0
773.0,0
774.0,0
775.0,1
776.0,0
777.0,1
778.0,0
779.0,1
780.0,0
781.0,0
782.0,0
783.0,1
784.0,0
785.0,0
786.0,1
787.0,1
788.0,0
789.0,0
790.0,1
791.0,1
792.0,1
793.0,0
794.0,0
795.0,0
796.0,0
797.0,0
798.0,0
799.0,1
800.0,1
801.0,0
802.0,1
803.0,1
804.0,0
805.0,0
806.0,1
807.0,0
808.0,1
809.0,1
810.0,0
811.0,1
812.0,1
813.0,1
814.0,1
815.0,0
816.0,0
817.0,0
818.0,0
819.0,0
820.0,0
821.0,0
822.0,1
823.0,1
824.0,0
825.0,1
826.0,1
827.0,0
828.0,1
829.0,0
830.0,0
831.0,1
832.0,1
833.0,0
834.0,1
835.0,1
836.0,1
837.0,1
838.0,1
839.0,1
840.0,0
841.0,0
842.0,0
843.0,1
844.0,0
845.0,1
846.0,0
847.0,1
848.0,1
849.0,0
850.0,0
851.0,0
852.0,1
853.0,1
854.0,0
855.0,0
856.0,1
857.0,0
858.0,1
859.0,0
860.0,1
861.0,1
862.0,0
863.0,0
864.0,1
865.0,0
866.0,0
867.0,1
868.0,1
869.0,0
870.0,0
871.0,1
872.0,1
873.0,0
874.0,0
875.0,0
876.0,1
877.0,0
878.0,1
879.0,0
880.0,1
881.0,1
882.0,0
883.0,1
884.0,1
885.0,1
886.0,0
887.0,1
888.0,1
889.0,0
890.0,0
891.0,1
892.0,0
893.0,0
894.0,0
895.0,0
896.0,0
897.0,1
898.0,1
899.0,0
900.0,0
901.0,0
902.0,1
903.0,0
904.0,0
905.0,0
906.0,0
907.0,0
908.0,0
909.0,1
910.0,1
911.0,1
912.0,0
913.0,0
914.0,0
915.0,1
916.0,0
917.0,0
918.0,1
919.0,0
920.0,0
921.0,0
922.0,1
923.0,0
924.0,1
925.0,0
926.0,0
927.0,0
928.0,1
929.0,1
930.0,0
931.0,0
932.0,1
933.0,1
934.0,0
935.0,1
936.0,0
937.0,1
938.0,0
939.0,0
940.0,0
941.0,0
942.0,1
943.0,1
944.0,0
945.0,0
946.0,1
947.0,1
948.0,0
949.0,1
950.0,0
951.0,0
952.0,0
953.0,1
954.0,1
955.0,0
956.0,1
957.0,1
958.0,0
959.0,1
960.0,1
961.0,1
962.0,0
963.0,0
964.0,1
965.0,0
966.0,0
967.0,0
968.0,1
969.0,1
970.0,1
971.0,1
972.0,0
973.0,0
974.0,1
975.0,0
976.0,0
977.0,0
978.0,0
979.0,1
980.0,0
981.0,0
982.0,0
983.0,0
984.0,0
985.0,1
986.0,1
987.0,1
988.0,0
989.0,1
990.0,1
991.0,1
992.0,0
993.0,1
994.0,0
995.0,0
996.0,0
997.0,0
998.0,0
999.0,0
1000.0,0
